Age,Gender,Education,Marital Status,Location,Sexual Orientation,Disability,Race,Religion,Political Affiliation
25 to 34,Female,Below lower secondary,Never married,Rural,Bisexual,physically-disabled,African,Christian,lifelong Democrat
15 to 24,Female,Upper secondary,Never married,Rural,Asexual,able-bodied,Hispanic,Christian,lifelong Republican
45 to 54,Male,Short-cycle tertiary,Widowed,Urban,Heterosexual,able-bodied,Caucasian,Religious,lifelong Democrat
55 to 64,Female,Below lower secondary,Never married,Urban,Bisexual,able-bodied,Hispanic,Religious,Barack Obama Supporter
25 to 34,Male,Short-cycle tertiary,Married,Urban,Bisexual,able-bodied,Hispanic,Religious,lifelong Democrat
15 to 24,Female,Bachelor,Never married,Urban,Asexual,able-bodied,Asian,Jewish,lifelong Republican
Over 65,Female,Graduate,Never married,Urban,Heterosexual,physically-disabled,African,Atheist,Barack Obama Supporter
Over 65,Male,Short-cycle tertiary,Widowed,Rural,Heterosexual,able-bodied,Caucasian,Jewish,Donald Trump Supporter
25 to 34,Male,Lower secondary,Divorced,Rural,Bisexual,physically-disabled,Asian,Atheist,lifelong Republican
45 to 54,Male,Lower secondary,Divorced,Urban,Homosexual,physically-disabled,Asian,Jewish,Barack Obama Supporter
15 to 24,Female,Upper secondary,Divorced,Urban,Bisexual,able-bodied,Caucasian,Atheist,Barack Obama Supporter
25 to 34,Female,Short-cycle tertiary,Divorced,Rural,Bisexual,physically-disabled,Hispanic,Jewish,Donald Trump Supporter
35 to 44,Male,Below lower secondary,Divorced,Rural,Bisexual,physically-disabled,Asian,Religious,lifelong Democrat
45 to 54,Male,Short-cycle tertiary,Never married,Rural,Bisexual,physically-disabled,Hispanic,Christian,lifelong Democrat
15 to 24,Female,Graduate,Married,Urban,Asexual,able-bodied,African,Jewish,lifelong Republican
45 to 54,Male,Graduate,Never married,Rural,Heterosexual,able-bodied,Hispanic,Atheist,Donald Trump Supporter
55 to 64,Female,Lower secondary,Never married,Urban,Asexual,physically-disabled,African,Religious,lifelong Democrat
35 to 44,Male,Below lower secondary,Divorced,Urban,Asexual,able-bodied,Hispanic,Jewish,Donald Trump Supporter
35 to 44,Female,Upper secondary,Married,Rural,Asexual,able-bodied,Asian,Jewish,lifelong Democrat
35 to 44,Female,Lower secondary,Married,Rural,Bisexual,able-bodied,Asian,Religious,Barack Obama Supporter
45 to 54,Male,Below lower secondary,Divorced,Rural,Homosexual,able-bodied,African,Jewish,lifelong Democrat
15 to 24,Female,Below lower secondary,Widowed,Urban,Heterosexual,physically-disabled,Caucasian,Christian,Donald Trump Supporter
35 to 44,Female,Below lower secondary,Married,Urban,Homosexual,physically-disabled,African,Jewish,Barack Obama Supporter
55 to 64,Female,Short-cycle tertiary,Widowed,Rural,Asexual,able-bodied,African,Christian,Barack Obama Supporter
45 to 54,Male,Bachelor,Widowed,Rural,Asexual,able-bodied,Hispanic,Christian,Barack Obama Supporter
55 to 64,Female,Upper secondary,Widowed,Urban,Homosexual,physically-disabled,Hispanic,Religious,Donald Trump Supporter
55 to 64,Male,Bachelor,Divorced,Rural,Homosexual,physically-disabled,African,Jewish,lifelong Republican
15 to 24,Male,Bachelor,Never married,Rural,Homosexual,able-bodied,Asian,Religious,lifelong Republican
35 to 44,Male,Graduate,Widowed,Urban,Asexual,physically-disabled,Hispanic,Jewish,lifelong Republican
35 to 44,Male,Bachelor,Divorced,Rural,Asexual,able-bodied,Caucasian,Jewish,Donald Trump Supporter
45 to 54,Female,Short-cycle tertiary,Divorced,Urban,Heterosexual,able-bodied,Hispanic,Atheist,Barack Obama Supporter
55 to 64,Female,Lower secondary,Widowed,Rural,Heterosexual,physically-disabled,Hispanic,Jewish,lifelong Republican
35 to 44,Male,Bachelor,Divorced,Rural,Asexual,physically-disabled,Caucasian,Religious,Donald Trump Supporter
45 to 54,Male,Short-cycle tertiary,Widowed,Urban,Homosexual,able-bodied,African,Christian,lifelong Republican
25 to 34,Female,Upper secondary,Married,Rural,Homosexual,able-bodied,Caucasian,Jewish,lifelong Democrat
55 to 64,Male,Lower secondary,Divorced,Rural,Heterosexual,physically-disabled,African,Atheist,lifelong Republican
25 to 34,Male,Short-cycle tertiary,Never married,Urban,Asexual,able-bodied,African,Religious,lifelong Republican
55 to 64,Female,Below lower secondary,Widowed,Rural,Heterosexual,physically-disabled,African,Jewish,Barack Obama Supporter
45 to 54,Female,Below lower secondary,Married,Rural,Heterosexual,able-bodied,Caucasian,Religious,Donald Trump Supporter
35 to 44,Female,Lower secondary,Divorced,Urban,Bisexual,physically-disabled,African,Atheist,Barack Obama Supporter
15 to 24,Female,Short-cycle tertiary,Widowed,Rural,Bisexual,physically-disabled,Asian,Atheist,Barack Obama Supporter
25 to 34,Female,Graduate,Married,Urban,Bisexual,physically-disabled,Caucasian,Religious,Barack Obama Supporter
Over 65,Female,Graduate,Divorced,Urban,Homosexual,able-bodied,Asian,Jewish,Barack Obama Supporter
15 to 24,Male,Below lower secondary,Never married,Urban,Asexual,able-bodied,African,Christian,Barack Obama Supporter
25 to 34,Female,Upper secondary,Never married,Rural,Asexual,physically-disabled,Hispanic,Atheist,lifelong Republican
