Model,File Name,Row_0%,Row_1%,Row_2%,Col_0%,Col_1%,Col_2%
claude-3-opus-20240229,demographic_0001_choices.csv,0,13.33,86.67,6.67,86.67,6.67
claude-3-opus-20240229,demographic_0002_choices.csv,0,26.67,73.33,0,80,20
claude-3-opus-20240229,demographic_0003_choices.csv,0,33.33,66.67,6.67,86.67,6.67
claude-3-opus-20240229,demographic_0004_choices.csv,13.33,20,66.67,0,80,20
claude-3-opus-20240229,demographic_0005_choices.csv,6.67,6.67,86.67,0,86.67,13.33
claude-3-opus-20240229,demographic_0006_choices.csv,13.33,20,66.67,13.33,60,26.67
claude-3-opus-20240229,demographic_0007_choices.csv,13.33,6.67,80,0,86.67,13.33
claude-3-opus-20240229,demographic_0008_choices.csv,0,33.33,66.67,6.67,93.33,0
claude-3-opus-20240229,demographic_0009_choices.csv,6.67,13.33,80,6.67,80,13.33
claude-3-opus-20240229,demographic_0010_choices.csv,6.67,13.33,80,6.67,80,13.33
claude-3-opus-20240229,demographic_0011_choices.csv,0,20,80,6.67,86.67,6.67
claude-3-opus-20240229,demographic_0012_choices.csv,33.33,20,46.67,6.67,93.33,0
claude-3-opus-20240229,demographic_0013_choices.csv,6.67,6.67,86.67,6.67,80,13.33
claude-3-opus-20240229,demographic_0014_choices.csv,26.67,0,73.33,6.67,80,13.33
claude-3-opus-20240229,demographic_0015_choices.csv,0,26.67,73.33,0,93.33,6.67
claude-3-opus-20240229,demographic_0016_choices.csv,0,26.67,73.33,6.67,73.33,20
claude-3-opus-20240229,demographic_0017_choices.csv,20,20,60,6.67,80,13.33
claude-3-opus-20240229,demographic_0018_choices.csv,6.67,20,73.33,0,93.33,6.67
claude-3-opus-20240229,demographic_0019_choices.csv,6.67,40,53.33,6.67,86.67,6.67
claude-3-opus-20240229,demographic_0020_choices.csv,6.67,6.67,86.67,6.67,86.67,6.67
claude-3-opus-20240229,demographic_0021_choices.csv,13.33,6.67,80,13.33,80,6.67
claude-3-opus-20240229,demographic_0022_choices.csv,20,20,60,6.67,86.67,6.67
claude-3-opus-20240229,demographic_0023_choices.csv,6.67,6.67,86.67,13.33,80,6.67
claude-3-opus-20240229,demographic_0024_choices.csv,40,6.67,53.33,6.67,86.67,6.67
claude-3-opus-20240229,demographic_0025_choices.csv,0,20,80,0,86.67,13.33
claude-3-opus-20240229,demographic_0026_choices.csv,13.33,26.67,60,0,86.67,13.33
claude-3-opus-20240229,demographic_0027_choices.csv,6.67,26.67,66.67,13.33,80,6.67
claude-3-opus-20240229,demographic_0028_choices.csv,0,40,60,13.33,80,6.67
claude-3-opus-20240229,demographic_0029_choices.csv,20,0,80,13.33,86.67,0
claude-3-opus-20240229,demographic_0030_choices.csv,0,26.67,73.33,0,93.33,6.67
claude-3-opus-20240229,demographic_0031_choices.csv,20,13.33,66.67,13.33,73.33,13.33
claude-3-opus-20240229,demographic_0032_choices.csv,13.33,13.33,73.33,6.67,80,13.33
claude-3-opus-20240229,demographic_0033_choices.csv,6.67,13.33,80,6.67,86.67,6.67
claude-3-opus-20240229,demographic_0034_choices.csv,6.67,6.67,86.67,13.33,66.67,20
claude-3-opus-20240229,demographic_0035_choices.csv,6.67,20,73.33,0,93.33,6.67
claude-3-opus-20240229,demographic_0036_choices.csv,6.67,6.67,86.67,0,93.33,6.67
claude-3-opus-20240229,demographic_0037_choices.csv,6.67,13.33,80,13.33,80,6.67
claude-3-opus-20240229,demographic_0038_choices.csv,6.67,26.67,66.67,0,100,0
claude-3-opus-20240229,demographic_0039_choices.csv,0,40,60,6.67,80,13.33
claude-3-opus-20240229,demographic_0040_choices.csv,0,6.67,93.33,13.33,80,6.67
claude-3-opus-20240229,demographic_0041_choices.csv,6.67,20,73.33,20,73.33,6.67
claude-3-opus-20240229,demographic_0042_choices.csv,13.33,26.67,60,13.33,86.67,0
