="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)"
="",="tau",="tau",="tau",="tau",="tau",="tau",="tau",="tau",="tau",="tau",="tau",="tau",="tau",="tau",="tau",="tau",="tau",="tau",="tau",="tau"
="",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p"
="age_below_25",=".0020278",=".0266867",=".1382535",="-.0706682",="-.097626",="-.040556",=".2243424",=".1703912",=".0170661",=".1804287",="-.047017",=".1535864",="-.0899982",="-.1061665",="-.0007283",="-.0509657",=".0196821",=".0259433",=".1773053",="-.0006162"
="",=".0361302",=".089625",=".0755035",=".0670019",=".1265276",=".0937064",=".2701726",=".1142769",=".2563954",=".1768619",=".0364913",=".1088089",=".0835745",=".1403735",=".2125676",=".2604219",=".1297572",=".1753403",=".3378548",=".0880113"
="",=".9553778",=".766236",=".0686788",=".2946515",=".4425819",=".6662972",=".4087425",=".1397887",=".9470928",=".3106496",=".2012142",=".1618732",=".2847003",=".4516278",=".9972747",=".8453257",=".8798087",=".8827379",=".60114",=".9944308"
="age_above_55",="-.0144131",="-.100793",=".0266042",="-.0085647",="-.242393",="-.039048",=".0923419",="-.0026906",=".0422078",="-.2348605",="-.0383953",=".0317349",=".054046",=".082776",="-.1903327",="-.2256284",=".0356502",="-.0545905",=".1896514",=".0298469"
="",=".0272678",=".0682897",=".0575321",=".050567",=".0954917",=".0707212",=".2039021",=".086246",=".1935043",=".1334796",=".0275403",=".0821192",=".0630746",=".1059413",=".160427",=".1965431",=".0979291",=".1323312",=".2549826",=".0664231"
="",=".5985266",=".1417308",=".6443154",=".8659197",=".0130287",=".5823542",=".6518358",=".9751886",=".827875",=".0822183",=".1670397",=".7001647",=".39402",=".4368538",=".2388854",=".2543131",=".7167641",=".6810278",=".4591345",=".6543683"
="gender_female",="-.0328653",=".0667786",="-.0467655",=".1457043",="-.0432107",="-.0861578",="-.2452437",="-.0032159",=".1154944",=".1673647",=".0228537",=".0269743",="-.056841",=".1673164",=".2101179",=".2626633",=".1183036",=".0726887",="-.4322487",=".0633864"
="",=".0253415",=".0632221",=".053262",=".0469948",=".0887458",=".0657252",=".1894977",=".0801532",=".1798344",=".12405",=".0255948",=".076318",=".0586187",=".0984572",=".1490938",=".1826585",=".091011",=".1229827",=".2369695",=".0617307"
="",=".198304",=".2922918",=".3810549",=".0026486",=".6276249",=".1935579",=".199237",=".9680935",=".5225175",=".1809955",=".3745205",=".7246609",=".3350611",=".0930381",=".1625277",=".1542391",=".1972832",=".5561142",=".0717845",=".3075237"
="education_graduate",="-.0057373",="-.1218617",=".1409829",="-.0690125",="-.0481253",="-.1366035",="-.4173976",=".2011677",=".1385098",=".0162645",=".0047142",="-.0258895",=".0527023",=".0195076",="-.1681364",="-.2831561",="-.0286426",="-.0761517",=".1307954",=".0337961"
="",=".0339325",=".0816717",=".068794",=".0629264",=".1188313",=".0880066",=".2537389",=".1073258",=".2407996",=".1661039",=".0342716",=".1021904",=".078491",=".131835",=".1996378",=".2445812",=".1218644",=".1646749",=".3173041",=".0826578"
="",=".86615",=".1374553",=".0418244",=".2759752",=".6865405",=".1244663",=".1038005",=".0644412",=".5667258",=".9222365",=".8909294",=".8006351",=".5038249",=".8827299",=".4021217",=".2503401",=".8147663",=".6449928",=".6812623",=".6837026"
="below_secondary",=".0164515",=".0062476",="-.0041173",="-.0767917",=".1327053",="-.0257722",="-.3712905",="-.028516",=".272021",=".0628968",=".0157275",="-.1791588",="-.0900402",=".029857",="-.3003231",="-.1538401",="-.0105076",="-.1202838",=".3230495",="-.0639578"
="",=".0271951",=".0664328",=".0559617",=".0504321",=".0952369",=".0705325",=".2033581",=".0860159",=".192988",=".1331234",=".0274669",=".0819001",=".0629063",=".1056587",=".159999",=".1960187",=".0976678",=".1319781",=".2543022",=".0662458"
="",=".5468865",=".9251807",=".9414288",=".1316872",=".1672575",=".7157574",=".0715211",=".7410978",=".162462",=".6378465",=".568482",=".0315512",=".1561337",=".7782113",=".0640702",=".4348187",=".9145878",=".3647602",=".2075572",=".3371524"
="marital_divorced",="-.0524177",=".0495889",=".0227204",="-.0244212",=".066066",=".0458514",="-.156702",="-.1442488",=".2767703",=".530532",="-.0697691",="-.1196307",="-.0660819",="-.1786118",="-.0667362",=".0414959",="-.0144207",=".1662382",=".2110538",="-.0324804"
="",=".0328228",=".0783631",=".0660045",=".0608685",=".1149452",=".0851285",=".2454408",=".103816",=".2329248",=".1606718",=".0331508",=".0988484",=".0759241",=".1275236",=".193109",=".2365827",=".1178791",=".1592895",=".3069273",=".0799547"
="",=".114114",=".527675",=".7310645",=".6893074",=".5670268",=".5916124",=".5249593",=".1684524",=".2381693",=".0014236",=".0383883",=".2296626",=".38664",=".1651012",=".7305373",=".8612002",=".9029335",=".2997267",=".4936235",=".6856278"
="marital_married",=".0134062",="-.0321996",="-.1294665",="-.1110897",="-.1063818",=".1129314",=".2727295",="-.1250599",=".034875",=".1523348",="-.056523",="-.1023579",="-.1254628",="-.1772992",="-.1346191",="-.340191",="-.1549527",=".1564165",=".1658973",=".0037584"
="",=".0331422",=".0774999",=".0652709",=".0614609",=".1160639",=".085957",=".2478296",=".1048264",=".2351917",=".1622356",=".0334735",=".0998105",=".076663",=".1287647",=".1949885",=".2388852",=".1190264",=".1608398",=".3099145",=".0807328"
="",=".6868949",=".6782943",=".0487722",=".0743537",=".3620508",=".1925731",=".2743467",=".2363021",=".8824831",=".3505024",=".0950974",=".3081325",=".1055573",=".1722834",=".4918952",=".1582185",=".1966181",=".3336624",=".5938911",=".9629819"
="marital_widowed",=".0038539",="-.0187012",=".0592639",="-.0156831",=".0503255",=".0292654",=".0462871",="-.2423491",="-.1696301",=".0598213",="-.0589295",="-.0398693",="-.0631362",=".0236775",=".2237657",="-.0814856",="-.0341809",=".2028308",=".0159715",=".0219697"
="",=".0340661",=".0780206",=".0657026",=".0631741",=".1192992",=".0883531",=".254738",=".1077484",=".2417478",=".166758",=".0344066",=".1025927",=".0788",=".1323541",=".2004239",=".2455443",=".1223443",=".1653233",=".3185535",=".0829833"
="",=".9102045",=".8108431",=".3682163",=".8045601",=".6742437",=".7413141",=".8562628",=".0271799",=".4848643",=".7207179",=".0905393",=".6985666",=".4253195",=".8584611",=".2674852",=".740844",=".7806542",=".223381",=".9601346",=".7918676"
="location_rural",="-.0187454",=".0366601",=".0524949",="-.00126",="-.0653182",="-.0049982",="-.1437912",="-.0367294",="-.0951247",="-.0292768",="-.014418",=".1572839",="-.0356634",=".0991366",=".0714216",="-.2854945",=".0864705",="-.0106716",="-.2891203",=".0480082"
="",=".0247918",=".0581072",=".0489388",=".0459754",=".0868209",=".0642996",=".1853874",=".0784147",=".1759337",=".1213593",=".0250396",=".0746626",=".0573473",=".0963216",=".1458599",=".1786966",=".0890369",=".1203152",=".2318296",=".0603917"
="",=".4517483",=".5289158",=".284804",=".9782023",=".4540054",=".93823",=".4402013",=".6407415",=".5901905",=".8099711",=".5663232",=".0382096",=".5357426",=".3064003",=".6256828",=".1139676",=".3343168",=".9295387",=".2159023",=".4289389"
="sexual_asexual",=".0183704",=".0820698",=".0163607",=".0760757",=".1671876",="-.0070896",=".1635815",="-.0813763",="-.0943748",=".0697184",=".0384503",=".0163536",="-.0220205",="-.2244985",=".3893023",=".1975807",="-.0658786",=".3330957",=".229511",="-.0095082"
="",=".0343712",=".0800468",=".0674146",=".06374",=".1203678",=".0891445",=".2570196",=".1087135",=".2439131",=".1682516",=".0347147",=".1035117",=".0795058",=".1335395",=".202219",=".2477436",=".1234401",=".1668041",=".3214067",=".0837266"
="",=".5944624",=".3066336",=".8085138",=".236103",=".1686017",=".9368056",=".5262522",=".456277",=".699818",=".6796852",=".2712699",=".8748545",=".7825025",=".0965413",=".0576775",=".4274519",=".5950009",=".0491502",=".4772038",=".9098621"
="sexual_bisexual",=".0805186",="-.074918",="-.0167399",=".0246538",=".1087411",="-.0713298",=".3378496",=".0953816",="-.5446047",="-.1088934",=".0784643",=".1086504",="-.1619789",="-.0986913",=".0840199",=".3416197",=".0552395",=".4375715",="-.2540012",="-.145492"
="",=".0384204",=".0917781",=".0773041",=".071249",=".134548",=".0996463",=".2872984",=".1215208",=".2726479",=".1880729",=".0388044",=".1157061",=".0888722",=".1492715",=".2260419",=".2769296",=".1379823",=".1864548",=".3592708",=".0935902"
="",=".0391907",=".4154287",=".8287982",=".7302113",=".4213164",=".4761298",=".2430164",=".4347743",=".0490907",=".5641791",=".0464321",=".3504779",=".0720084",=".5103675",=".7110745",=".2208771",=".6899491",=".021348",=".4815765",=".1239012"
="sexual_homosexual",=".0117408",=".1086641",="-.0345629",=".0861517",=".1408348",="-.163082",=".146863",="-.145301",="-.131577",="-.0542527",=".0291414",=".3028861",="-.0567867",="-.1595651",=".2333363",="-.111069",="-.075919",=".3448454",="-.0435679",="-.1434439"
